variable_name,description,data_type,min,max,units,enumerations,comment
MASKED_ID,,integer,,,,,
AGE,Age at last encounter,string,,,,one;two;three;four;five;six;seven;eight;nine;ten,
SEX,Sex,string,,,,,
RACE,Race,string,,,,,
ETHNICITY,Ethnicity,string,,,,,
EXTRACTION_DATE,Date of extraction,date,,,,,
BMI,BMI,string,,,,,
HEIGHT,Height at last encounter,string,,,,,
WEIGHT,Weight at last encounter,string,,,,,
Acute bronchitis,Acute bronchitis,string,,,,,
kidney failure,Acute kidney failure,string,,,,,
Vitamin D deficiency,Vitamin D deficiency,string,,,,,
xerosis_cutis,Xerosis cutis ,string,,,,,
